pred_x,pred_y,pred_phi,true_X,true_y,true_phi
6.284899567868386,1.8973343719387474,-0.0019625569755448583,6.2785,1.9598,0.0
6.759949773430039,2.15331688231095,0.30964904270941385,6.6632,2.0825,0.30937
6.983201331170476,2.305049564607428,0.30550835470002746,7.0554,2.2076,0.30856
7.504152727930348,2.3170695162546804,0.3128857439979717,7.4561,2.3358,0.30912
7.90397389616949,2.3920010620556797,0.3096717701129112,7.8656,2.4671,0.31022
8.183660835721728,2.5551838771113546,0.30990427398128223,8.2852,2.6011,0.31012
8.648380635579278,2.79209106211127,0.30743245029479827,8.7144,2.7375,0.30922
9.115281660661932,3.018223635796279,0.30860518383710983,9.1536,2.8763,0.30781
9.625370984122778,2.9753940780795167,0.3084712362143252,9.6031,3.0188,0.30605
10.004568532084098,3.0807156745131166,0.3057010711450681,10.063,3.1652,0.3079
10.583291156444025,3.250513706147486,0.3085334646863443,10.532,3.3136,0.30853
10.917338330556978,3.487420080120461,0.30780252938629493,11.008,3.4638,0.30668
11.410698446243435,3.5287060530966174,0.3033391138779016,11.494,3.6162,0.30526
11.880835815498394,3.6940394673999415,0.30924463276540903,11.989,3.7712,0.304
12.498771969574143,3.8168961046233596,0.3061280025590661,12.492,3.9291,0.30378
13.087613400044514,4.125477689296216,0.30252086242085835,13.005,4.0883,0.30382
13.541267966451146,4.474788569494734,0.2998655875578805,13.526,4.2487,0.30114
14.039442808846225,4.513624984627782,0.294609991767201,14.057,4.41,0.29846
14.416498595253886,4.517588894161097,0.29749449039354037,14.599,4.5723,0.2948
15.232584495000411,4.755801289191536,0.29213508635444413,15.152,4.7368,0.29085
15.748007854703477,4.897404577031312,0.2880410640837412,15.715,4.904,0.2894
16.374407129475564,4.992343784835668,0.29357485976063924,16.287,5.0715,0.2887
16.922768336023374,5.319576236624048,0.2799433622565917,16.865,5.2381,0.28491
17.382155681977878,5.455513536907261,0.2805208616486896,17.453,5.4049,0.28037
17.995994672209438,5.728381938467761,0.28012135609291533,18.048,5.5727,0.27661
18.70398939543476,5.849840767240491,0.27531718825834106,18.651,5.7412,0.27462
19.194995541468913,6.095186888921522,0.27193073316585237,19.26,5.9101,0.27275
20.121643824073796,6.119226661065143,0.2644118711935646,19.877,6.079,0.27039
20.260250771508534,6.018819710873244,0.2692359236252417,20.502,6.2479,0.26739
20.92515867468001,6.571159590918309,0.2664712642205453,21.135,6.4157,0.26401
21.8877673847978,6.4660849294037455,0.25412179792994827,21.777,6.5842,0.25891
22.489384715627974,6.652915675528627,0.25973736723592356,22.428,6.7538,0.25657
23.07831098072783,6.84720996643273,0.25540189105713634,23.088,6.924,0.25497
23.64476149086639,7.140328170016765,0.25425381134215935,23.758,7.0942,0.25246
24.537978700862283,7.289764295376647,0.24727926080787266,24.437,7.2643,0.24894
24.995163012249943,7.453365170750994,0.24394673142100295,25.127,7.4341,0.2453
25.781226473447802,7.628205959430438,0.24247305665946528,25.826,7.6045,0.2414
26.611820486684525,7.824153314688976,0.23585204921813055,26.535,7.7746,0.23893
27.271929869271265,8.007599251815797,0.23420604914611612,27.253,7.9438,0.23559
27.897200658106307,8.175504395065532,0.23426021871965994,27.981,8.1126,0.23127
28.75350934252849,8.306568693091016,0.22703565980044924,28.718,8.2791,0.22801
29.399368853417286,8.509902379821671,0.22289718511509776,29.466,8.445,0.22198
30.09907921879044,8.608454337787302,0.2151079864181746,30.221,8.6112,0.21849
31.206078174312818,8.687331484647101,0.21527849108949065,30.986,8.7768,0.21653
31.823333999858484,8.924642889745492,0.21109689371577853,31.76,8.9415,0.21326
32.64650919329466,9.138142609720813,0.20693715878551508,32.542,9.1052,0.20974
33.43463388120498,9.34623259965648,0.20371669390246974,33.333,9.2685,0.20628
34.082452733281485,9.426559747946884,0.20370726699757732,34.132,9.4312,0.20359
34.80002105405297,9.705164808264685,0.2019675403753011,34.94,9.5926,0.20085
35.72959300650817,9.642546045993338,0.19357714433510143,35.756,9.7532,0.19724
36.42520280927369,9.91114230550286,0.19732009878681603,36.579,9.9136,0.19433
37.405722091103655,9.995157163646091,0.18993318322903388,37.411,10.074,0.19233
38.17346742323497,10.164514963700565,0.18862510645568456,38.25,10.234,0.19103
39.091890789904646,10.37377473496747,0.1859023149241354,39.098,10.392,0.18802
39.98906522060497,10.66826950954707,0.18416788380960555,39.952,10.55,0.18477
40.968213020581445,10.649610712787432,0.18068604406444144,40.812,10.708,0.18276
41.63382010000977,10.973600238885709,0.18184276309889563,41.678,10.863,0.18086
42.497476079066274,10.961855899622062,0.17849817115960168,42.548,11.016,0.177
43.38037269621648,11.095555601265868,0.17741050211153903,43.425,11.168,0.17498
44.21580051461894,11.314430982733402,0.1698219316420219,44.307,11.319,0.1717
45.17443438473929,11.348238397393494,0.1670898778832801,45.196,11.469,0.16951
45.93100173884624,11.691624511331607,0.17050391012624488,46.093,11.617,0.16699
46.94857057813393,11.86953463611152,0.16699854470295855,46.996,11.764,0.16339
47.86858313672989,11.916824353637312,0.16108735587327783,47.907,11.909,0.1608
48.77555061725838,12.095156814548362,0.16051251206637102,48.826,12.054,0.1585
49.610830767025455,12.189721883526097,0.15452204627174468,49.752,12.196,0.15608
50.80943318939737,12.453720117011747,0.15042149595336196,50.685,12.337,0.15251
51.57610499403639,12.493917511194587,0.15209080611174117,51.625,12.478,0.15023
52.62574477022195,12.776722566203517,0.14994769026053123,52.571,12.619,0.14902
53.54096824783557,12.78793266529274,0.13958020268545834,53.525,12.757,0.14703
54.36901241998053,12.867162631385145,0.14018861255579945,54.486,12.894,0.14362
